"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","original","men_normal_2676","men_normal_2691","menLCCstage1_270","menLCCstage1_507"
"4309",282.671304793377,282.671304793377,282.671304793377,423.7330056,423.7330056,423.7330056,1,1,116413.1509705,129515.10285411,20344.9449888,17400.5821789333
"4310",283.020233154297,283.017335107306,283.021126909186,21.8269998,21.8269998,21.82900074,3,3,58744.7011516235,36445.1830889966,98589.4069234676,236623.39810438
"4311",283.020953718367,283.020953718367,283.020953718367,57.1150017,57.1150017,57.1150017,1,1,1892.729466555,1208.292345825,714.794242559997,1017.18301184
"4312",283.023681640625,283.023681640625,283.023681640625,50.51200032,50.51200032,50.51200032,1,1,78037.63695148,64239.5622054062,30752.5804609879,40102.0767982692
"4313",283.172111817062,283.172111817062,283.172111817062,430.021992,430.021992,430.021992,1,1,2912.2554233143,3514.07542765716,820.839779999989,2176.48801988572
"4314",283.174964119138,283.174757339839,283.175170898438,146.3150022,146.3150022,146.3150022,2,2,51438.3107660473,81990.2545502525,27810.2439254118,30894.4923912
"4315",283.176993959368,283.176029129658,283.177958789077,423.5760069,423.4190082,423.7330056,2,2,39334.5038673598,36588.9462477471,10943.1740972005,10434.3717616261
"4316",283.22511784355,283.223388671875,283.226837158203,402.2799969,401.9659998,402.5979996,4,4,423433.643597868,683601.292709844,334069.096783259,481037.9006817
"4317",283.224100966347,283.223388671875,283.22481326082,467.1965073,467.1960066,467.197008,2,2,63568.4793868004,77014.8239970348,26512.3544623199,30872.4805053998
"4318",283.281921386719,283.281921386719,283.281921386719,344.5959948,344.5949934,344.5969962,2,2,285615.962935199,114132.076249418,33981.5536467545,38990.839769
"4319",283.281921386719,283.281921386719,283.281921386719,342.3945093,342.3940086,342.39501,2,2,344730.265479836,138669.401124369,34246.9665655384,39292.5144215538
"4320",284.098724365234,284.098724365234,284.098724365234,89.2590024,89.2590024,89.2590024,1,1,170375.392603395,107969.465146822,41348.643025536,72244.355682
"4321",284.184967041016,284.184967041016,284.184967041016,146.3150022,146.3150022,146.3150022,1,1,120837.396138631,11536.4267043158,3605.41375739999,4009.08937813335
"4322",284.226749940081,284.226348876953,284.227706744521,402.4369953,402.2799966,402.5979996,4,4,54753.4636677599,92045.9069856,45003.8629267846,63084.6147069731
"4323",284.292550939456,284.292539662706,284.292562216206,507.0455076,506.2609866,507.8300286,2,2,6207.65429259983,5930.27843975997,4584.7797026399,4950.91159955998
"4324",284.292576416083,284.292576416083,284.292576416083,520.796013,520.796013,520.796013,1,1,3787.26598800003,4033.77628560003,3944.16600074993,3425.36120160002
"4325",284.289047385299,284.289047385299,284.289047385299,342.39501,342.39501,342.39501,1,1,43407.5324512499,17889.8919192,11942.6300532,13147.489026
"4326",284.294788087858,284.292176404043,284.296274876171,510.3315069,510.3310206,510.333996,4,4,12645.38478915,10558.7672446237,8061.62961983883,10867.5481349612
"4327",284.295193693644,284.295005966862,284.295349121094,493.5235119,493.3660128,493.6839864,4,4,155680.397987174,164644.853983872,103717.331636801,142627.298833687
"4328",284.295349121094,284.293869206339,284.295349121094,490.2219774,489.2789838,490.2250098,3,3,13840.4257836001,23827.4115796404,17848.3876583997,26844.5267804999
"4329",284.293397198289,284.292665990794,284.294725610737,502.798977,501.229992,503.1170082,3,2,8017.21849008042,6991.25275343998,7424.43044982878,6324.8548071602
"4330",284.293726251538,284.292578102719,284.294874400357,388.3729932,388.3729932,388.3729932,2,2,132028.841505318,76671.7725224216,37536.3510141296,31902.8697082272
"4331",284.293947401742,284.293266664565,284.294628138919,513.7205028,513.5650062,513.8759994,2,2,3377.01858767999,3390.12700379995,3249.99001319991,2981.57565599996
"4332",284.294653199076,284.294644404024,284.294661994128,473.0165004,472.2300054,473.8029954,2,1,2649.05624210009,2459.41111400008,2111.40090342858,1739.82893640006
"4333",284.293323286028,284.293214196665,284.293432375392,531.1724853,530.2289772,532.1159934,2,1,1036.349307,1066.52576160003,1309.88396175001,840.83596000002
"4334",284.294089097243,284.294089097243,284.294089097243,528.0279924,528.0279924,528.0279924,1,1,2192.7737535999,2045.21170839997,2525.15910677134,2198.68907479996
"4335",284.295319680855,284.295319680855,284.295319680855,534.6310044,534.6310044,534.6310044,1,1,1647.95143911436,1862.03314080001,2283.00069060005,1676.83599120001
"4336",284.295339251356,284.295339251356,284.295339251356,477.5759982,477.5759982,477.5759982,1,1,2481.13872240002,2413.25419714281,1906.04213482502,1796.65595862853
"4337",284.292644877354,284.292644877354,284.292644877354,517.338009,517.338009,517.338009,1,1,3900.77822840017,3777.74533079999,3804.87490362863,3437.31446099999
"4338",284.295909206419,284.295909206419,284.295909206419,524.2549896,524.2549896,524.2549896,1,1,4326.62211839986,4742.02060799984,4814.66522405008,4508.06415359985
"4339",284.293195106756,284.293195106756,284.293195106756,351.1990068,351.1990068,351.1990068,1,1,40167.1088699999,11093.2624059231,6909.44812961538,10364.0142222
"4340",284.294658804015,284.294658804015,284.294658804015,484.2510222,484.2510222,484.2510222,1,1,3482.90123280011,3583.83210720012,2465.02515637496,2673.25325280009
"4341",284.29739229111,284.296929625239,284.297854956981,480.3900147,480.3880122,480.3920172,2,2,11064.097009739,8730.91876537995,6252.67230701765,6973.16157518927
"4342",284.330552522271,284.329864501953,284.33124054259,384.599991,384.599991,384.599991,2,2,35060.9029532306,53642.2514269597,2207.52086399999,4153.64974172305
"4343",285.220733642578,285.220733642578,285.220733642578,432.223005,432.223005,432.223005,2,2,83295.1881428001,59656.9092725334,3379.68843823446,3689.95792866207
"4344",286.227233886719,286.227233886719,286.227233886719,192.6809976,192.6799962,192.681999,2,2,1853.59499139131,1796.99682013043,213338.249932852,71872.6633299998
"4345",286.30966347145,286.30966347145,286.30966347145,367.9359912,367.9359912,367.9359912,1,1,36147.5363028891,13246.0268282223,10597.9457864308,10475.6605620692
